Dữ liệu,Phương pháp,Uniform_acc,Uniform_f1,Random_acc,Random_f1
BC,KNN,0.9649122807017544,0.9637980311209908,0.9824561403508771,0.9820075757575757
BC,RDF,0.9649122807017544,0.9642072213500785,0.9736842105263158,0.9729323308270676
BC,MICE,0.9736842105263158,0.9729323308270676,0.9736842105263158,0.9729323308270676
BC,DAE,0.976140350877193,0.9742792973449907,0.9585964912280702,0.9564396654719236
BC,VAE,0.9322807017543859,0.9288874680306906,0.9322807017543859,0.9282125603864735
CE,KNN,0.7427745664739884,0.27332427536231885,0.7861271676300579,0.35825877276476936
CE,RDF,0.7196531791907514,0.2160384068278805,0.8121387283236994,0.5462268440016173
CE,MICE,0.7572254335260116,0.31047661870503596,0.7745664739884393,0.515640754594243
CE,DAE,0.7598843930635838,0.31324589400891023,0.7801156069364162,0.39116595989954306
CE,VAE,0.7367630057803468,0.22875420875420877,0.7367630057803468,0.22875420875420877
CMC,KNN,0.5016949152542373,0.4730859655700315,0.4915254237288136,0.47953872592776986
CMC,RDF,0.45084745762711864,0.44307944307944314,0.5050847457627119,0.5012743037069156
CMC,MICE,0.44745762711864406,0.4336437277613749,0.5050847457627119,0.4944293509810751
CMC,DAE,0.4505084745762712,0.41709254492813047,0.5047457627118644,0.4724079957841527
CMC,VAE,0.4776271186440678,0.4553238265002972,0.40305084745762715,0.3806815528627761
IM,KNN,0.9571428571428572,0.9560556926302937,0.9809523809523809,0.9810604979436148
IM,RDF,0.95,0.9493661095531599,0.9809523809523809,0.9813414297158264
IM,MICE,0.9333333333333333,0.9329253676565018,0.9738095238095238,0.974571295639844
IM,DAE,0.8200000000000001,0.8159958949014284,0.8747619047619047,0.872156819779295
IM,VAE,0.5866666666666667,0.5816831189534442,0.6771428571428572,0.6651279259368018
TTT,KNN,0.6354166666666666,0.4141238012205754,0.7135416666666666,0.6153706064469131
TTT,RDF,0.5885416666666666,0.5885305048422538,0.7760416666666666,0.7181771633384537
TTT,MICE,0.6302083333333334,0.6265512423636413,0.7552083333333334,0.7315484158857652
TTT,DAE,0.6970833333333334,0.6475810286572394,0.67625,0.4302755026061058
TTT,VAE,0.67625,0.41622641509433966,0.6814583333333334,0.4324017138283347
