Dữ liệu,Phương pháp,Uniform_acc,Uniform_f1,Random_acc,Random_f1
BC,KNN,0.9824561403508771,0.9820075757575757,0.9824561403508771,0.9820075757575757
BC,RDF,0.9736842105263158,0.9729323308270676,0.9736842105263158,0.9729323308270676
BC,MICE,0.9912280701754386,0.9910285669316126,0.9824561403508771,0.9820075757575757
BC,DAE,0.9498245614035088,0.9471099744245525,0.9673684210526315,0.9656970466814863
BC,VAE,0.9147368421052632,0.9126216640502355,0.9585964912280702,0.9571999685212875
CE,KNN,0.7167630057803468,0.20875420875420878,0.7890173410404624,0.42538676407391496
CE,RDF,0.7485549132947977,0.2934756203366302,0.7312138728323699,0.24209067188519245
CE,MICE,0.7369942196531792,0.2821478873239437,0.7976878612716763,0.4942725577501237
CE,DAE,0.7830057803468208,0.37095369237046105,0.8061271676300579,0.38811856135911804
CE,VAE,0.05179190751445087,0.03540616246498599,0.7367630057803468,0.22875420875420877
CMC,KNN,0.46779661016949153,0.44852586793805194,0.4745762711864407,0.4634852898010793
CMC,RDF,0.5084745762711864,0.49069030923453827,0.49491525423728816,0.4763778430853656
CMC,MICE,0.47796610169491527,0.4671630797965087,0.4745762711864407,0.462161431948666
CMC,DAE,0.45389830508474577,0.4237521785735396,0.5149152542372881,0.5033247480935432
CMC,VAE,0.48779661016949155,0.4693183584092675,0.4674576271186441,0.4140798324593673
IM,KNN,0.9476190476190476,0.9475949584087547,0.9761904761904762,0.9763111469871787
IM,RDF,0.9404761904761905,0.940467283944552,0.9642857142857143,0.9643853967396735
IM,MICE,0.9285714285714286,0.9275551097031806,0.9761904761904762,0.9765423410743609
IM,DAE,0.77,0.7696196984059319,0.8604761904761905,0.8590386226872158
IM,VAE,0.6033333333333334,0.5758341755557085,0.6819047619047619,0.6593974827613273
TTT,KNN,0.65625,0.39622641509433965,0.6927083333333334,0.5465716687347397
TTT,RDF,0.65625,0.39622641509433965,0.6979166666666666,0.6175824175824176
TTT,MICE,0.65625,0.39622641509433965,0.671875,0.5530428999002328
TTT,DAE,0.67625,0.41622641509433966,0.7022916666666666,0.5512012168274427
TTT,VAE,0.67625,0.41622641509433966,0.67625,0.41622641509433966
