Dữ liệu,Phương pháp,Uniform_acc,Uniform_f1,Random_acc,Random_f1
BC,KNN,0.9736842105263158,0.9730857007948375,0.9824561403508771,0.9820075757575757
BC,RDF,0.956140350877193,0.9542792973449907,0.9824561403508771,0.9820075757575757
BC,MICE,0.956140350877193,0.954599761051374,0.9736842105263158,0.9729323308270676
BC,DAE,0.9235087719298246,0.9207518796992481,0.9410526315789474,0.9387969924812031
BC,VAE,0.8796491228070176,0.8742199488491049,0.9235087719298246,0.9213142362477376
CE,KNN,0.7543352601156069,0.307771164021164,0.6936416184971098,0.30008442380751377
CE,RDF,0.7167630057803468,0.20875420875420878,0.7456647398843931,0.3048071106147331
CE,MICE,0.7658959537572254,0.3274344809866393,0.7832369942196532,0.43831615120274914
CE,DAE,0.7367630057803468,0.22875420875420877,0.7541040462427746,0.444365568144422
CE,VAE,0.7367630057803468,0.22875420875420877,0.2338728323699422,0.1080952380952381
CMC,KNN,0.46779661016949153,0.43588212144361876,0.4711864406779661,0.45088838545599735
CMC,RDF,0.4745762711864407,0.46432514299714117,0.4440677966101695,0.41966931068106805
CMC,MICE,0.45084745762711864,0.42977374055265477,0.4745762711864407,0.46292695386511223
CMC,DAE,0.4810169491525424,0.42508388446321893,0.4674576271186441,0.44009560914154555
CMC,VAE,0.40305084745762715,0.38066355153909665,0.44372881355932203,0.42589713272243573
IM,KNN,0.8785714285714286,0.8802165600866899,0.9738095238095238,0.9737349485248645
IM,RDF,0.8714285714285714,0.8744209615834154,0.9738095238095238,0.9741883979447877
IM,MICE,0.861904761904762,0.8606528225264872,0.9642857142857143,0.9650030937259932
IM,DAE,0.6247619047619047,0.6258161323597193,0.8414285714285714,0.8427550743561575
IM,VAE,0.48904761904761906,0.4881529491448342,0.6176190476190476,0.5955034788691793
TTT,KNN,0.671875,0.5318704284221525,0.7864583333333334,0.7568494208494209
TTT,RDF,0.6458333333333334,0.5915404830434239,0.7447916666666666,0.6416682536659684
TTT,MICE,0.65625,0.39622641509433965,0.65625,0.39622641509433965
TTT,DAE,0.67625,0.41622641509433966,0.67625,0.41622641509433966
TTT,VAE,0.67625,0.41622641509433966,0.67625,0.41622641509433966
