Dữ liệu,Phương pháp,Uniform_acc,Uniform_f1,Random_acc,Random_f1
BC,KNN,0.9824561403508771,0.9820075757575757,0.9649122807017544,0.9640151515151516
BC,RDF,0.9912280701754386,0.9910285669316126,0.9649122807017544,0.9637980311209908
BC,MICE,0.9824561403508771,0.9820075757575757,0.956140350877193,0.954599761051374
BC,DAE,0.9059649122807018,0.901126173096976,0.9410526315789474,0.9370641015277665
BC,VAE,0.9585964912280702,0.9568421052631579,0.9410526315789474,0.9382795698924731
CE,KNN,0.8063583815028902,0.48871897097180483,0.8092485549132948,0.4356936416184971
CE,RDF,0.8265895953757225,0.682140811347658,0.8208092485549133,0.5717442492064314
CE,MICE,0.7832369942196532,0.42202380952380947,0.7890173410404624,0.48073844984108133
CE,DAE,0.8003468208092486,0.37587952903127997,0.8061271676300579,0.40087834151663937
CE,VAE,0.7367630057803468,0.22875420875420877,0.057572254335260115,0.0381058495821727
CMC,KNN,0.511864406779661,0.49767074767074765,0.5084745762711864,0.5037164093767867
CMC,RDF,0.4745762711864407,0.4650088417329796,0.5254237288135594,0.5162051056885097
CMC,MICE,0.5220338983050847,0.505562321804668,0.49830508474576274,0.48878097667171866
CMC,DAE,0.5216949152542373,0.5096919059913514,0.5115254237288136,0.5079679145578915
CMC,VAE,0.5216949152542373,0.4997507060666846,0.4369491525423729,0.38657975533805894
IM,KNN,0.9809523809523809,0.9814518814518814,0.9761904761904762,0.976464542651593
IM,RDF,0.9738095238095238,0.9739249481888522,0.9761904761904762,0.9765484684348781
IM,MICE,0.9571428571428572,0.9568617702106513,0.9833333333333333,0.9837159717451182
IM,DAE,0.8366666666666667,0.8313608196592582,0.881904761904762,0.8793973466852887
IM,VAE,0.6771428571428572,0.6713097947347169,0.6580952380952381,0.6472568062599662
TTT,KNN,0.6614583333333334,0.4124017138283347,0.7291666666666666,0.6484507042253521
TTT,RDF,0.6979166666666666,0.6740046838407494,0.7239583333333334,0.6239884713446404
TTT,MICE,0.8072916666666666,0.7680175031838814,0.71875,0.5954424847822695
TTT,DAE,0.6814583333333334,0.4324017138283347,0.67625,0.41622641509433966
TTT,VAE,0.36375,0.2758139534883721,0.67625,0.41622641509433966
